,kernel_size,pool_size,pooling,f1_score,loss,time_per_epoch,time
0,"(3, 3)","(2, 2)",MaxPooling2D,0.3594066082265678,0.8815194368362427,6.908146686553955,172.70366716384888
1,"(3, 3)","(2, 2)",AveragePooling2D,0.3388401888064734,1.2464579343795776,6.585371017456055,164.63427543640137
2,"(3, 3)","(3, 3)",MaxPooling2D,0.3782872555630479,1.0987569093704224,5.50585391998291,137.64634799957275
3,"(3, 3)","(3, 3)",AveragePooling2D,0.3425488873904248,1.5541400909423828,6.2185777568817135,155.46444392204285
4,"(3, 3)","(4, 4)",MaxPooling2D,0.3904248145650708,1.2597252130508423,5.749341239929199,143.73353099822998
5,"(3, 3)","(4, 4)",AveragePooling2D,0.34356035064059337,1.6883933544158936,6.670876159667968,166.77190399169922
6,"(5, 5)","(2, 2)",MaxPooling2D,0.3691840863115307,0.7388558387756348,7.568969554901123,189.22423887252808
7,"(5, 5)","(2, 2)",AveragePooling2D,0.34153742414025623,1.0680311918258667,7.305525140762329,182.63812851905823
8,"(5, 5)","(3, 3)",MaxPooling2D,0.39008766014834795,0.9723495244979858,6.426897029876709,160.67242574691772
9,"(5, 5)","(3, 3)",AveragePooling2D,0.34895482130815914,1.3974348306655884,7.1098254299163814,177.74563574790955
10,"(5, 5)","(4, 4)",MaxPooling2D,0.4049224544841538,1.140367865562439,6.62536771774292,165.634192943573
11,"(5, 5)","(4, 4)",AveragePooling2D,0.3462575859743763,1.5641111135482788,7.47563549041748,186.890887260437
12,"(7, 7)","(2, 2)",MaxPooling2D,0.35873229939312207,0.7400829195976257,7.791808032989502,194.79520082473755
13,"(7, 7)","(2, 2)",AveragePooling2D,0.3385030343897505,0.7955082058906555,7.559499282836914,188.98748207092285
14,"(7, 7)","(3, 3)",MaxPooling2D,0.3873904248145651,0.9446428418159485,6.786953220367431,169.6738305091858
15,"(7, 7)","(3, 3)",AveragePooling2D,0.3378287255563048,1.3529647588729858,7.400569496154785,185.01423740386963
16,"(7, 7)","(4, 4)",MaxPooling2D,0.3944706675657451,1.0692390203475952,7.019192638397217,175.47981595993042
17,"(7, 7)","(4, 4)",AveragePooling2D,0.34389750505731626,1.5102081298828125,7.7904270648956295,194.76067662239075
